,id1
1801,14786
1802,14792
1803,14805
1804,14808
1805,14815
1806,14829
1807,14843
1808,14855
1809,14863
1810,14866
1811,14869
1812,14879
1813,14886
1814,14892
1815,14900
1816,14903
1817,14921
1818,14923
1819,14927
1820,14932
1821,14939
1822,14944
1823,14946
1824,14954
1825,14960
1826,14963
1827,14969
1828,14977
1829,14982
1830,14985
1831,14991
1832,15009
1833,15014
1834,15044
1835,15049
1836,15061
1837,15063
1838,15079
1839,15082
1840,15091
1841,15096
1842,15103
1843,15109
1844,15118
1845,15126
1846,15135
1847,15138
1848,15142
1849,15144
1850,15166
1851,15168
1852,15184
1853,15187
1854,15193
1855,15204
1856,15208
1857,15218
1858,15226
1859,15232
1860,15240
1861,15250
1862,15261
1863,15270
1864,15275
1865,15281
1866,15284
1867,15289
1868,15291
1869,15296
1870,15299
1871,15309
1872,15313
1873,15321
1874,15328
1875,15335
1876,15338
1877,15342
1878,15345
1879,15352
1880,15354
1881,15364
1882,15375
1883,15384
1884,15407
1885,15409
1886,15430
1887,15436
1888,15439
1889,15447
1890,15460
1891,15470
1892,15496
1893,15504
1894,15512
1895,15523
1896,15543
1897,15551
1898,15553
1899,15560
1900,15568
1901,15578
1902,15585
1903,15598
1904,15601
1905,15609
1906,15614
1907,15617
1908,15625
1909,15632
1910,15647
1911,15659
1912,15661
1913,15664
1914,15669
1915,15677
1916,15685
1917,15688
1918,15696
1919,15701
1920,15704
1921,15707
1922,15711
1923,15715
1924,15717
1925,15726
1926,15732
1927,15736
1928,15743
1929,15751
1930,15754
1931,15757
1932,15759
1933,15761
1934,15767
1935,15772
1936,15778
1937,15781
1938,15787
1939,15793
1940,15795
1941,15799
1942,15802
1943,15805
1944,15821
1945,15827
1946,15831
1947,15839
1948,15842
1949,15845
1950,15849
1951,15851
1952,15854
1953,15863
1954,15877
1955,15880
1956,15885
1957,15887
1958,15892
1959,15904
1960,15913
1961,15931
1962,15934
1963,15940
1964,15950
1965,15957
1966,15972
1967,15975
1968,15980
1969,15983
1970,15990
1971,16017
1972,16019
1973,16022
1974,16028
1975,16031
1976,16033
1977,16043
1978,16054
1979,16057
1980,16062
1981,16066
1982,16080
1983,16082
1984,16091
1985,16094
1986,16098
1987,16102
1988,16114
1989,16116
1990,16118
1991,16121
1992,16138
1993,16152
1994,16167
1995,16182
1996,16184
1997,16194
1998,16203
1999,16210
2000,16229
2001,16231
2002,16236
2003,16241
2004,16248
2005,16250
2006,16252
2007,16257
2008,16263
2009,16268
2010,16273
2011,16275
2012,16286
2013,16290
2014,16294
2015,16303
2016,16330
2017,16337
2018,16357
2019,16360
2020,16367
2021,16369
2022,16374
2023,16386
2024,16395
2025,16397
2026,16399
2027,16404
2028,16411
2029,16416
2030,16425
2031,16433
2032,16445
2033,16447
2034,16451
2035,16472
2036,16477
2037,16481
2038,16487
2039,16489
2040,16491
2041,16514
2042,16534
2043,16544
2044,16549
2045,16559
2046,16561
2047,16572
2048,16576
2049,16584
2050,16588
2051,16595
2052,16598
2053,16617
2054,16620
2055,16623
2056,16631
2057,16633
2058,16638
2059,16640
2060,16647
2061,16651
2062,16664
2063,16669
2064,16677
2065,16702
2066,16706
2067,16708
2068,16714
2069,16717
2070,16728
2071,16746
2072,16751
2073,16757
2074,16760
2075,16766
2076,16770
2077,16773
2078,16775
2079,16781
2080,16787
2081,16811
2082,16831
2083,16847
2084,16849
2085,16852
2086,16860
2087,16874
2088,16878
2089,16888
2090,16905
2091,16910
2092,16912
2093,16917
2094,16919
2095,16926
2096,16932
2097,16943
2098,16957
2099,16965
2100,16970
2101,16982
2102,16988
2103,16993
2104,16995
2105,17002
2106,17009
2107,17015
2108,17022
2109,17028
2110,17031
2111,17048
2112,17054
2113,17057
2114,17061
2115,17066
2116,17070
2117,17072
2118,17075
2119,17078
2120,17093
2121,17096
2122,17100
2123,17107
2124,17110
2125,17112
2126,17123
2127,17129
2128,17137
2129,17140
2130,17147
2131,17157
2132,17161
2133,17164
2134,17168
2135,17171
2136,17177
2137,17182
2138,17185
2139,17189
2140,17197
2141,17225
2142,17232
2143,17237
2144,17245
2145,17250
2146,17256
2147,17259
2148,17267
2149,17275
2150,17283
2151,17288
2152,17295
2153,17298
2154,17301
2155,17315
2156,17317
2157,17319
2158,17333
2159,17348
2160,17351
2161,17353
2162,17357
2163,17359
2164,17362
2165,17364
2166,17366
2167,17369
2168,17378
2169,17385
2170,17390
2171,17394
2172,17406
2173,17411
2174,17413
2175,17427
2176,17431
2177,17433
2178,17435
2179,17440
2180,17450
2181,17454
2182,17457
2183,17463
2184,17465
2185,17471
2186,17474
2187,17476
2188,17504
2189,17508
2190,17524
2191,17526
2192,17536
2193,17542
2194,17546
2195,17553
2196,17577
2197,17581
2198,17584
2199,17589
2200,17593
2201,17609
2202,17612
2203,17616
